ID_QUATANGSN,PHIQUATANG,THONGDIEP,TENNGUOINHAN,DIACHIGIAOQUA,ID_DH
667,25000,Chúc bạn một tuổi mới như thế ^^,Vinh,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",355
668,45000,Happy Birthday!,Mai Bảo Ân,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",895
669,25000,Happy Birthday,Nguyễn Minh Nguyệt,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1641
670,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Phạm Vũ Khánh Linh,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1329
671,25000,Chúc bạn một tuổi mới như thế ^^,Xuân Phú,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1616
672,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Hoàng Bách,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",257
673,25000,Cuộc đời là một chuyến hành trình.,Trần Xuân Quang,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1452
674,45000,Happy Birthday,Lê Trần Minh Khang,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1585
675,25000,Chúc mừng sinh nhật.,Phạm Minh Hùng,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1466
676,45000,Những gì tốt đẹp nhất vẫn đang đến.,Nguyễn Trúc Quỳnh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1570
677,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Thái Bảo Nam,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1408
678,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Nguyễn Ngọc Tấn Nguyên,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1308
679,25000,\Tận hưởng từng centimet nhé ;),Nguyễn Trương Phúc Khang,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",372
680,45000,"Another year older, another year wiser. ",Vi,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",346
681,25000,Chúc bạn luôn xinh đẹp và hạnh phúc,Đặng Hữu Khang,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",58
682,45000,Chúc mừng sinh nhật!,Đức Chung,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",512
683,25000,Chúc bạn một tuổi mới như thế ^^,Trà Thiên Ân,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1514
684,45000,Enjoy every mile. Happy Birthday.,Vũ Quang Vinh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1428
685,25000,Life is a journey.,Đặng Huy Mạnh,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",462
686,45000,May beauty and happiness surround you,Phạm An Khanh,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",10
687,25000,Happy Birthday!,Đặng Huy Mạnh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1276
688,45000,Happy Birthday!,Phạm Cao Lâm,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1354
689,25000,Chúc mừng sinh nhật!,Benjamin,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",338
690,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Trần Vĩnh Kỳ,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",538
691,25000,,Juan Ming Shi,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",NULL
692,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Đặng Huy Mạnh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",1606
693,25000,Chúc mừng sinh nhật người đẹp.,Phan Bá Khôi,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1113
694,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Ngân Anh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1168
695,25000,Chúc mừng khởi đầu một năm hành trình mới,Trần Khải Đôn,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1191
696,45000,Party hard - this is YOUR day\,Lê Trần Hương Giang,"156 pAn Lạc A, QBình Tân, TpHCM",36
697,25000,May beauty and happiness surround you,Nguyễn Quang Thịnh,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",753
698,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Lê Nguyễn Ngọc Thuận,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1528
699,25000,Chúc mừng sinh nhật nghen,Phan Phú Trung,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",1118
700,45000,Những gì tốt đẹp nhất vẫn đang đến.,Nguyễn Phúc Thiên Bảo,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",275
701,25000,Enjoy every mile. Happy Birthday.,Lê Hải Vũ,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",215
702,45000,Chúc mừng sinh nhật người đẹp.,Đầu Quang Hải,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",170
703,25000,for the best things are yet to come,Bùi Bá Triết,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",598
704,45000,Chúc mừng sinh nhật!,Lê Đức Hiếu,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",620
705,25000,Chúc mừng sinh nhật.,An Thảo Nguyên,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1543
706,45000,Chúc mừng sinh nhật!,Ngân Anh,"156 pAn Lạc A, QBình Tân, TpHCM",25
707,25000,Chúc mừng khởi đầu một năm hành trình mới,Trần Minh Dương,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",747
708,45000,Chúc mừng sinh nhật.,Nguyễn Hoàng Biển,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",337
709,25000,"Another year older, another year wiser. ",Nguyễn Phương Nhi,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",284
710,45000,Chúc mừng sinh nhật bạn thân!,An Hải Nam,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",414
711,25000,Hãy luôn yêu đời nhé !,Nguyễn Thái Giang,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1684
712,45000,Forget the past; look forward to the future,Vòng Tải Đông,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1607
713,25000,May beauty and happiness surround you,Nguyễn Vũ Khôi Nguyên,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1523
714,45000,May beauty and happiness surround you,Phạm Nguyên Quỳnh Anh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1663
715,25000,Happy Birthday!,Trần Tiến Hùng,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",1521
716,45000,Chúc mừng sinh nhật nghen,Hoàng Minh Nhật,"156 pAn Lạc A, QBình Tân, TpHCM",692
717,25000,Chúc mừng sinh nhật!,Ngân Hà,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1306
718,45000,Chúc mừng sinh nhật bạn thân!,Nguyễn Trọng Quang,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",323
719,25000,,Phạm Cao Lâm,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",280
720,45000,"Another year older, another year wiser. ",Trần Mai Ngọc Đăng,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",1590
721,25000,May beauty and happiness surround you,Hoàng Minh Nhật,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1703
722,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Phạm Thịnh Phú,"68 Nguyễn Huệ, P. Bến Nghé, Quận",387
723,25000,Một ngày được phủ tràn nắng ấm,Vũ Quốc Hoàng,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1159
724,45000,Chúc bạn một tuổi mới như thế ^^,An Lê,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1519
725,25000,Chúc mừng sinh nhật!,Nguyễn Trần Gia Huy,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",823
726,45000,"Another year older, another year wiser. ",Văn Dũng,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1478
727,25000,Party điii…!!,Nguyễn Tuấn Hưng,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",43
728,45000,Chúc bạn một tuổi mới như thế ^^,Vòng Tải Đông,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",888
729,25000,Chúc mừng sinh nhật người đẹp.,Nguyễn Quỳnh Giang,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",1063
730,45000,Một ngày được phủ tràn nắng ấm,Đinh Bảo Vân,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1079
731,25000,Party điii…!!,Cường,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",844
732,45000,Forget the past; look forward to the future,Bùi Ngọc Minh,"156 pAn Lạc A, QBình Tân, TpHCM",724
733,25000,Một ngày được phủ tràn nắng ấm,Nguyễn Phúc Thiên Bảo,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",495
734,45000,Chúc mừng sinh nhật.,Nguyễn Hoàng Biển,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,459
735,25000,Chúc bạn một tuổi mới như thế ^^,Lê Quang Minh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",836
736,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Lê Xuân Minh,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",442
737,25000,Một ngày được phủ tràn nắng ấm,Phan Tấn Khoa,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1069
738,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Nguyễn Minh Hạnh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",509
739,25000,for the best things are yet to come,Nguyễn Diệp Chi,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1617
740,45000,Chúc bạn một tuổi mới như thế ^^,Bùi Bá Triết,"68 Nguyễn Huệ, P. Bến Nghé, Quận",1114
741,25000,Enjoy every mile. Happy Birthday.,Lê Nguyễn Thiên Ân,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",49
742,45000,"Another year older, another year wiser. ",Trần Minh Dương,"156 pAn Lạc A, QBình Tân, TpHCM",685
743,25000,Chúc mừng sinh nhật.,Lê Đình Đạt,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1361
744,45000,Happy Birthday!,Nguyễn Hoàng Phúc,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",23
745,25000,for the best things are yet to come,Phan Phú Trung,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1222
746,45000,Chúc mừng sinh nhật nghen,An Thảo Nguyên,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",40
747,25000,Hãy luôn yêu đời nhé !,Nguyễn Trí Dũng,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1654
748,45000,Chúc mừng sinh nhật bạn thân!,Bùi Bá Thắng,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",154
749,25000,Happy Birthday!,Trần Quang Thịnh,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1009
750,45000,"Another year older, another year wiser. ",An Lê,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",305
751,25000,Life is a journey.,Kiều Gia Bảo,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",57
752,45000,Enjoy every mile. Happy Birthday.,Vũ Quang Vinh,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",760
753,25000,Chúc mừng sinh nhật!,Nguyễn Tạ Ân Bình,120 Phan Xích Long P3 Quận Bình Thạnh,1497
754,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Bùi Châu Anh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1525
755,25000,Chúc mừng sinh nhật nghen,Hoàng Văn Việt,"68 Nguyễn Huệ, P. Bến Nghé, Quận",831
756,45000,Một ngày được phủ tràn nắng ấm,Đặng Minh Đức,"156 pAn Lạc A, QBình Tân, TpHCM",1471
757,25000,Chúc mừng sinh nhật.,Hải Đức,120 Phan Xích Long P3 Quận Bình Thạnh,1440
758,45000,Happy Birthday!,Sơn,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",137
759,25000,Chúc mừng khởi đầu một năm hành trình mới,Nguyễn Vũ Khôi Nguyên,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1416
760,45000,Chúc mừng sinh nhật người đẹp.,Đinh Đăng Việt Anh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1392
761,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Đặng Hữu Khang,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",938
762,45000,Life is a journey.,Kiều Gia Bảo,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",1076
763,25000,Happy Birthday,Nguyễn Huỳnh Bảo Nam,"68 Nguyễn Huệ, P. Bến Nghé, Quận",300
764,45000,Happy Birthday.,Nguyễn Doãn Thiên Ân,120 Phan Xích Long P3 Quận Bình Thạnh,1013
765,25000,Happy Birthday!,Hứa Huy Phong,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1453
766,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Hoàng Đông Bách,120 Phan Xích Long P3 Quận Bình Thạnh,1621
767,25000,Happy Birthday!,Nguyễn Bảo Khánh,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",948
768,45000,"Another year older, another year wiser. ",Nguyễn Quang Đăng,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",855
769,25000,Forget the past; look forward to the future,Nguyễn Tạ Ân Bình,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1541
770,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Bùi Châu Anh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1177
771,25000,Chúc mừng khởi đầu một năm hành trình mới,Lý Thiên Bảo,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",1270
772,45000,Chúc mừng khởi đầu một năm hành trình mới,Bảo Kỳ,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,1593
773,25000,\Tận hưởng từng centimet nhé ;),Nguyễn Tuấn Khanh,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",348
774,45000,Party hard - this is YOUR day\,Nguyễn Hoàng Phúc,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,1516
775,25000,Chúc bạn một tuổi mới như thế ^^,Nguyễn Trường An,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1008
776,45000,Chúc mừng sinh nhật.,Nguyễn Hoàng Điền,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1718
777,25000,Forget the past; look forward to the future,Nguyễn Bảo Khánh,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",1289
778,45000,\Tận hưởng từng centimet nhé ;),Nguyễn Gia Phúc,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",358
779,25000,Những gì tốt đẹp nhất vẫn đang đến.,Ngô Quang Thế,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",940
780,45000,Chúc mừng sinh nhật người đẹp.,Juan Ming Shi,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",1310
781,25000,Happy Birthday,Lê Châu Anh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1423
782,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Lê Thành Lộc,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",363
783,25000,Happy Birthday,Phạm Thịnh Phú,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",487
784,45000,Những gì tốt đẹp nhất vẫn đang đến.,Tâm Ái,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",759
785,25000,Chúc mừng sinh nhật!,An Thảo Nguyên,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1595
786,45000,Happy Birthday,Nguyễn Tâm Anh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1067
787,25000,Hãy luôn yêu đời nhé !,Ngân Hà,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",713
788,45000,Forget the past; look forward to the future,Văn Dũng,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1581
789,25000,Enjoy every mile. Happy Birthday.,Đào Đình Việt,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",841
790,45000,Chúc mừng sinh nhật!,Trần Nguyên Đạt,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",433
791,25000,Chúc mừng sinh nhật nghen,Lưu Trần Mẫn Khang,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",783
792,45000,Happy Birthday,Vũ Việt Thắng,"233đường Trục, P.13, Q. BìnhThạnh",1398
793,25000,Chúc bạn một tuổi mới như thế ^^,Ngọc,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",1224
794,45000,Hãy luôn yêu đời nhé !,Phan Thiện Lâm,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1082
795,25000,Happy Birthday!,Nguyễn Quang Hưng,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",59
796,45000,Forget the past; look forward to the future,Đoàn Dương Tuấn Anh,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1584
797,25000,Hãy luôn yêu đời nhé !,Cao Minh Bảo,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",1333
798,45000,Chúc mừng sinh nhật!,Nguyễn Huỳnh Bảo Nam,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",1619
799,25000,Forget the past; look forward to the future,Nguyễn Hữu Phước,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1105
800,45000,Chúc mừng sinh nhật người đẹp.,Mai Bảo Ân,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",1349
801,25000,Hãy luôn yêu đời nhé !,Vu Bao Chau,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1083
802,45000,\Tận hưởng từng centimet nhé ;),Phan Tấn Khoa,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1004
803,25000,Chúc mừng khởi đầu một năm hành trình mới,Lê Hoàng Bách,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",NULL
804,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Lê Sơn,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",661
805,25000,for the best things are yet to come,Trần Mai Linh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",735
806,45000,Happy Birthday!,Nguyễn Sỹ Nhật Minh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1230
807,25000,Party điii…!!,Đỗ Đức Phúc Thịnh,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",1770
808,45000,Party điii…!!,Nguyễn Duy Nguyên,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1035
809,25000,May beauty and happiness surround you,Trịnh Lê Diệu Anh,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",915
810,45000,Chúc mừng sinh nhật.,Lương Bảo Lâm,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",70
811,25000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Nguyễn Hoàng Khang,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",1155
812,45000,Happy Birthday!,Nguyễn Tuấn Hưng,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",276
813,25000,Chúc mừng sinh nhật người đẹp.,Trần Duy Minh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1763
814,45000,Chúc mừng sinh nhật!,Nguyễn Hà Minh Đức,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",359
815,25000,Chúc mừng sinh nhật!,Trịnh Hữu Phúc Minh,"156 pAn Lạc A, QBình Tân, TpHCM",869
816,45000,Chúc bạn một tuổi mới như thế ^^,Đoàn Gia Khang,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",381
817,25000,Những gì tốt đẹp nhất vẫn đang đến.,Lê Đức Nhật,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",582
818,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Lê Trần Minh Khang,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",1056
819,25000,Enjoy every mile. Happy Birthday.,Nguyễn Khôi Nguyên,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",277
820,45000,Một ngày được phủ tràn nắng ấm,Đoàn Minh Hoàng,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1759
821,25000,,Phùng Đức An,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1456
822,45000,"Another year older, another year wiser. ",Thủy Phương,120 Phan Xích Long P3 Quận Bình Thạnh,79
823,25000,May beauty and happiness surround you,Nguyễn Trọng Quang,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",244
824,45000,Chúc mừng sinh nhật.,Nguyễn Phương Linh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",988
825,25000,Một ngày được phủ tràn nắng ấm,Thủy Phương,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",797
826,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Hoàng Minh,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,1745
827,25000,Chúc mừng sinh nhật.,Tâm Ái,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",965
828,45000,Một ngày được phủ tràn nắng ấm,Trịnh Nhật Nam,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",186
829,25000,Chúc bạn một tuổi mới như thế ^^,Lê Nguyễn Nhật Anh,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1753
830,45000,Những gì tốt đẹp nhất vẫn đang đến.,Nguyễn Duy Nguyên,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",1569
831,25000,Chúc mừng sinh nhật.,Trần Khải Đôn,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",331
832,45000,May beauty and happiness surround you,Trịnh Hữu Phúc Minh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",206
833,25000,\Tận hưởng từng centimet nhé ;),hoàng trung kiên,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",972
834,45000,Một ngày được phủ tràn nắng ấm,hoàng trung kiên,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",1054
835,25000,Enjoy every mile. Happy Birthday.,Mạch Hiểu Lam,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",441
836,45000,Chúc mừng sinh nhật!,Gia Hưng,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",595
837,25000,"Another year older, another year wiser. ",Nguyễn Quang Thắng,120 Phan Xích Long P3 Quận Bình Thạnh,184
838,45000,Chúc mừng sinh nhật nghen,Lê Gia Minh,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1172
839,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Hồ Nam,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",129
840,45000,Chúc mừng sinh nhật nghen,Văn Dũng,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",775
841,25000,Chúc mừng sinh nhật.,Lê Quang Minh,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1185
842,45000,Một ngày được phủ tràn nắng ấm,Nguyễn hoàng minh,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1700
843,25000,Party hard - this is YOUR day\,Nguyễn Sỹ Nhật Minh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1499
844,45000,for the best things are yet to come,Hải Đức,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1480
845,25000,Enjoy every mile. Happy Birthday.,Đỗ Vũ Phúc Anh,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",1784
846,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Phạm An Nhiên,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",91
847,25000,Chúc mừng khởi đầu một năm hành trình mới,Anh Quân,"156 pAn Lạc A, QBình Tân, TpHCM",668
848,45000,Một ngày được phủ tràn nắng ấm,Nguyễn Ngọc Mai,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1657
849,25000,Happy Birthday!,Nguyễn Thanh Tùng,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",636
850,45000,Cuộc đời là một chuyến hành trình.,Nguyễn Duy Nguyên,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",1615
851,25000,Party điii…!!,Đặng Minh,"156 pAn Lạc A, QBình Tân, TpHCM",1470
