ID_DH,THOIGIANDAT,TRANGTHAI,THOIGIANGIAO,THOIGIANXN,DIACHIGIAOHANG,TONGCONG,ID_COUPONGIAMGIA,MA_HTGH,MA_HTTT,ID_KH,ID_NV,ID_PO
1335,1/14/2020 21:30,3,1/21/2020 21:30,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,476,HTGH002   ,HTTT004   ,6476,253,1572
1336,1/14/2020 21:45,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,916,HTGH001   ,HTTT001   ,1332,309,1273
1337,1/14/2020 22:00,4,1/21/2020 22:00,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,444,HTGH002   ,HTTT004   ,6249,110,1324
1338,1/14/2020 22:15,1,NULL,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,1524,HTGH002   ,HTTT003   ,1344,446,1879
1339,1/14/2020 22:30,5,1/21/2020 22:30,1/22/2020 22:30,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,NULL,NULL,NULL,NULL,NULL,NULL
1340,1/14/2020 22:45,3,1/21/2020 22:45,NULL,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,2143,HTGH001   ,HTTT001   ,8744,16,1679
1341,1/14/2020 23:00,2,1/21/2020 23:00,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,498,HTGH002   ,HTTT003   ,8256,410,2214
1342,1/14/2020 23:15,3,1/21/2020 23:15,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,1177,HTGH001   ,HTTT001   ,5252,229,85
1343,1/14/2020 23:30,3,1/21/2020 23:30,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,883,HTGH001   ,HTTT001   ,6492,62,140
1344,1/14/2020 23:45,3,1/21/2020 23:45,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,343,HTGH003   ,HTTT005   ,2399,12,1547
1345,1/15/2020 0:00,1,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1266,HTGH002   ,HTTT002   ,4089,187,345
1346,1/15/2020 0:15,4,1/22/2020 0:15,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,18,HTGH003   ,HTTT004   ,5466,355,2137
1347,1/15/2020 0:30,4,1/22/2020 0:30,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,2077,HTGH001   ,HTTT001   ,4054,104,2022
1348,1/15/2020 0:45,1,NULL,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,389,HTGH003   ,HTTT005   ,8877,19,896
1349,1/15/2020 1:00,4,1/22/2020 1:00,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1436,HTGH001   ,HTTT001   ,7206,484,1502
1350,1/15/2020 1:15,3,1/22/2020 1:15,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1934,HTGH003   ,HTTT005   ,5740,488,905
1351,1/15/2020 1:30,5,1/22/2020 1:30,1/23/2020 1:30,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,1878,HTGH003   ,HTTT004   ,1218,262,1132
1352,1/15/2020 1:45,4,1/22/2020 1:45,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,504,HTGH002   ,HTTT003   ,945,439,1961
1353,1/15/2020 2:00,6,NULL,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,859,HTGH001   ,HTTT001   ,8264,419,1554
1354,1/15/2020 2:15,2,1/22/2020 2:15,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1514,HTGH001   ,HTTT001   ,8759,135,2279
1355,1/15/2020 2:30,2,1/22/2020 2:30,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,173,HTGH002   ,HTTT004   ,2939,404,1592
1356,1/15/2020 2:45,3,1/22/2020 2:45,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,1461,HTGH003   ,HTTT004   ,3221,244,769
1357,1/15/2020 3:00,4,1/22/2020 3:00,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,236,HTGH002   ,HTTT004   ,7596,110,2322
1358,1/15/2020 3:15,1,NULL,NULL,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,864,HTGH003   ,HTTT005   ,5238,57,840
1359,1/15/2020 3:30,2,1/22/2020 3:30,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1646,HTGH003   ,HTTT004   ,2167,374,725
1360,1/15/2020 3:45,5,1/22/2020 3:45,1/23/2020 3:45,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,1303,HTGH001   ,HTTT001   ,1183,259,1717
1361,1/15/2020 4:00,6,NULL,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,1274,HTGH002   ,HTTT002   ,4859,52,2169
1362,1/15/2020 4:15,2,1/22/2020 4:15,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1623,HTGH002   ,HTTT003   ,4911,136,1806
1363,1/15/2020 4:30,5,1/22/2020 4:30,1/23/2020 4:30,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1710,HTGH003   ,HTTT005   ,9045,24,2266
1364,1/15/2020 4:45,5,1/22/2020 4:45,1/23/2020 4:45,120 Phan Xích Long P3 Quận Bình Thạnh,0,1923,HTGH003   ,HTTT005   ,7664,44,1052
1365,1/15/2020 5:00,6,NULL,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1789,HTGH003   ,HTTT004   ,398,161,742
1366,1/15/2020 5:15,2,1/22/2020 5:15,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,600,HTGH001   ,HTTT002   ,6549,80,304
1367,1/15/2020 5:30,4,1/22/2020 5:30,NULL,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,860,HTGH001   ,HTTT001   ,6191,363,150
1368,1/15/2020 5:45,2,1/22/2020 5:45,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,165,HTGH002   ,HTTT003   ,8804,499,2258
1369,1/15/2020 6:00,6,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1508,HTGH001   ,HTTT001   ,6590,457,1867
1370,1/15/2020 6:15,2,1/22/2020 6:15,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,1126,HTGH002   ,HTTT003   ,2154,344,2139
1371,1/15/2020 6:30,1,NULL,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,167,HTGH001   ,HTTT001   ,927,74,142
1372,1/15/2020 6:45,2,1/22/2020 6:45,NULL,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,1439,HTGH002   ,HTTT003   ,7877,70,2235
1373,1/15/2020 7:00,3,1/22/2020 7:00,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,2128,HTGH003   ,HTTT005   ,2822,3,1080
1374,1/15/2020 7:15,4,1/22/2020 7:15,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,2134,HTGH001   ,HTTT001   ,496,300,12
1375,1/15/2020 7:30,4,1/22/2020 7:30,NULL,"233đường Trục, P.13, Q. BìnhThạnh",0,188,HTGH002   ,HTTT003   ,7235,155,1461
1376,1/15/2020 7:45,3,1/22/2020 7:45,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1487,HTGH001   ,HTTT001   ,2248,448,89
1377,1/15/2020 8:00,3,1/22/2020 8:00,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,1502,HTGH003   ,HTTT004   ,7212,380,1197
1378,1/15/2020 8:15,2,1/22/2020 8:15,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,112,HTGH001   ,HTTT001   ,3240,206,1692
1379,1/15/2020 8:30,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,429,HTGH001   ,HTTT002   ,6454,279,232
1380,1/15/2020 8:45,4,1/22/2020 8:45,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,1370,HTGH001   ,HTTT002   ,2305,158,1381
1381,1/15/2020 9:00,3,1/22/2020 9:00,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,2183,HTGH002   ,HTTT003   ,1407,99,1944
1382,1/15/2020 9:15,6,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,752,HTGH003   ,HTTT004   ,7964,26,1039
1383,1/15/2020 9:30,6,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1606,HTGH002   ,HTTT003   ,9162,373,1332
1384,1/15/2020 9:45,6,NULL,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,2198,HTGH002   ,HTTT003   ,1040,46,1660
1385,1/15/2020 10:00,5,1/22/2020 10:00,1/23/2020 10:00,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1628,HTGH003   ,HTTT005   ,48,368,977
1386,1/15/2020 10:15,3,1/22/2020 10:15,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,387,HTGH003   ,HTTT004   ,3913,277,1196
1387,1/15/2020 10:30,4,1/22/2020 10:30,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,2038,HTGH002   ,HTTT002   ,9316,128,1658
1388,1/15/2020 10:45,2,1/22/2020 10:45,NULL,120 Phan Xích Long P3 Quận Bình Thạnh,0,565,HTGH003   ,HTTT005   ,3370,397,877
1389,1/15/2020 11:00,3,1/22/2020 11:00,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,1621,HTGH001   ,HTTT001   ,4056,461,2134
1390,1/15/2020 11:15,1,NULL,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,NULL,NULL,NULL,NULL,NULL,NULL
1391,1/15/2020 11:30,2,1/22/2020 11:30,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,655,HTGH003   ,HTTT005   ,9683,184,842
1392,1/15/2020 11:45,4,1/22/2020 11:45,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,1964,HTGH001   ,HTTT002   ,7946,63,1708
1393,1/15/2020 12:00,6,NULL,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,761,HTGH003   ,HTTT004   ,7074,137,1814
1394,1/15/2020 12:15,1,NULL,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,1373,HTGH001   ,HTTT001   ,5483,313,1343
1395,1/15/2020 12:30,3,1/22/2020 12:30,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,1438,HTGH001   ,HTTT002   ,9761,452,2310
1396,1/15/2020 12:45,1,NULL,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,836,HTGH002   ,HTTT003   ,9679,263,2241
1397,1/15/2020 13:00,4,1/22/2020 13:00,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,148,HTGH002   ,HTTT004   ,3055,256,640
1398,1/15/2020 13:15,5,1/22/2020 13:15,1/23/2020 13:15,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1513,HTGH001   ,HTTT001   ,158,32,2127
1399,1/15/2020 13:30,4,1/22/2020 13:30,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,1258,HTGH003   ,HTTT005   ,6446,467,2115
1400,1/15/2020 13:45,5,1/22/2020 13:45,1/23/2020 13:45,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,531,HTGH001   ,HTTT001   ,3943,62,139
1401,1/15/2020 14:00,1,NULL,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,267,HTGH002   ,HTTT003   ,7810,386,2201
1402,1/15/2020 14:15,2,1/22/2020 14:15,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,382,HTGH003   ,HTTT005   ,2767,216,1845
1403,1/15/2020 14:30,2,1/22/2020 14:30,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,1889,HTGH001   ,HTTT002   ,7850,97,2097
1404,1/15/2020 14:45,2,1/22/2020 14:45,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,1681,HTGH001   ,HTTT002   ,6283,148,1301
1405,1/15/2020 15:00,3,1/22/2020 15:00,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1255,HTGH002   ,HTTT003   ,3868,17,2271
1406,1/15/2020 15:15,4,1/22/2020 15:15,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,1887,HTGH001   ,HTTT001   ,1008,186,1588
1407,1/15/2020 15:30,2,1/22/2020 15:30,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,2011,HTGH001   ,HTTT002   ,8912,426,1540
1408,1/15/2020 15:45,2,1/22/2020 15:45,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,905,HTGH002   ,HTTT002   ,3155,382,1923
1409,1/15/2020 16:00,4,1/22/2020 16:00,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,2200,HTGH001   ,HTTT001   ,553,227,1778
1410,1/15/2020 16:15,6,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,240,HTGH003   ,HTTT005   ,6408,478,2017
1411,1/15/2020 16:30,1,NULL,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,185,HTGH002   ,HTTT003   ,1269,466,1610
1412,1/15/2020 16:45,2,1/22/2020 16:45,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,1985,HTGH001   ,HTTT001   ,5921,53,1817
1413,1/15/2020 17:00,2,1/22/2020 17:00,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,1235,HTGH002   ,HTTT003   ,8379,447,2243
1414,1/15/2020 17:15,4,1/22/2020 17:15,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1494,HTGH001   ,HTTT001   ,1225,133,136
1415,1/15/2020 17:30,2,1/22/2020 17:30,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,532,HTGH002   ,HTTT002   ,2857,203,1287
1416,1/15/2020 17:45,1,NULL,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,935,HTGH003   ,HTTT005   ,322,72,904
1417,1/15/2020 18:00,2,1/22/2020 18:00,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,423,HTGH003   ,HTTT005   ,7168,463,2059
1418,1/15/2020 18:15,5,1/22/2020 18:15,1/23/2020 18:15,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1838,HTGH002   ,HTTT003   ,3069,299,483
1419,1/15/2020 18:30,6,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1248,HTGH002   ,HTTT003   ,6545,42,1533
1420,1/15/2020 18:45,4,1/22/2020 18:45,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,512,HTGH001   ,HTTT001   ,8315,418,1738
1421,1/15/2020 19:00,4,1/22/2020 19:00,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,1405,HTGH003   ,HTTT005   ,527,416,1320
1422,1/15/2020 19:15,2,1/22/2020 19:15,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,167,HTGH003   ,HTTT005   ,4887,3,2357
1423,1/15/2020 19:30,5,1/22/2020 19:30,1/23/2020 19:30,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,2049,HTGH001   ,HTTT002   ,600,141,271
1424,1/15/2020 19:45,5,1/22/2020 19:45,1/23/2020 19:45,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1732,HTGH001   ,HTTT002   ,3284,149,2244
1425,1/15/2020 20:00,6,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,NULL,NULL,NULL,NULL,NULL,NULL
1426,1/15/2020 20:15,3,1/22/2020 20:15,NULL,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1949,HTGH001   ,HTTT001   ,4825,224,27
1427,1/15/2020 20:30,2,1/22/2020 20:30,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,696,HTGH001   ,HTTT002   ,1789,10,259
1428,1/15/2020 20:45,2,1/22/2020 20:45,NULL,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,1794,HTGH003   ,HTTT005   ,7061,12,864
1429,1/15/2020 21:00,1,NULL,NULL,"233đường Trục, P.13, Q. BìnhThạnh",0,718,HTGH001   ,HTTT002   ,866,297,2114
1430,1/15/2020 21:15,4,1/22/2020 21:15,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,808,HTGH002   ,HTTT003   ,9800,223,1701
1431,1/15/2020 21:30,5,1/22/2020 21:30,1/23/2020 21:30,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,215,HTGH002   ,HTTT004   ,8594,287,1892
1432,1/15/2020 21:45,4,1/22/2020 21:45,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,1362,HTGH001   ,HTTT001   ,794,474,1125
1433,1/15/2020 22:00,5,1/22/2020 22:00,1/23/2020 22:00,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,358,HTGH002   ,HTTT003   ,1933,401,1372
1434,1/15/2020 22:15,1,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,493,HTGH003   ,HTTT005   ,2910,414,868
1435,1/15/2020 22:30,4,1/22/2020 22:30,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,2203,HTGH001   ,HTTT002   ,8344,364,319
1436,1/15/2020 22:45,2,1/22/2020 22:45,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,1920,HTGH001   ,HTTT002   ,3948,354,211
1437,1/15/2020 23:00,5,1/22/2020 23:00,1/23/2020 23:00,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,1509,HTGH002   ,HTTT003   ,333,454,1997
1438,1/15/2020 23:15,4,1/22/2020 23:15,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,122,HTGH001   ,HTTT002   ,3272,30,296
1439,1/15/2020 23:30,4,1/22/2020 23:30,NULL,"233đường Trục, P.13, Q. BìnhThạnh",0,1939,HTGH001   ,HTTT002   ,6618,494,1776
1440,1/15/2020 23:45,2,1/22/2020 23:45,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,1295,HTGH003   ,HTTT005   ,7478,192,2000
1441,1/16/2020 0:00,1,NULL,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,941,HTGH001   ,HTTT001   ,6370,259,44
1442,1/16/2020 0:15,3,1/23/2020 0:15,NULL,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,1850,HTGH001   ,HTTT001   ,2071,428,2296
1443,1/16/2020 0:30,4,1/23/2020 0:30,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,443,HTGH001   ,HTTT002   ,8020,5,1783
1444,1/16/2020 0:45,4,1/23/2020 0:45,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,2144,HTGH002   ,HTTT004   ,3224,322,1720
1445,1/16/2020 1:00,1,NULL,NULL,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,425,HTGH001   ,HTTT001   ,1227,336,1106
1446,1/16/2020 1:15,1,NULL,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1259,HTGH001   ,HTTT001   ,8328,218,1900
1447,1/16/2020 1:30,3,1/23/2020 1:30,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,1097,HTGH001   ,HTTT001   ,3825,461,2273
1448,1/16/2020 1:45,2,1/23/2020 1:45,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,642,HTGH002   ,HTTT003   ,2367,495,2007
1449,1/16/2020 2:00,5,1/23/2020 2:00,1/24/2020 2:00,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,1965,HTGH003   ,HTTT004   ,3182,143,2290
1450,1/16/2020 2:15,3,1/23/2020 2:15,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,2086,HTGH002   ,HTTT003   ,485,333,1339
1451,1/16/2020 2:30,5,1/23/2020 2:30,1/24/2020 2:30,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1119,HTGH002   ,HTTT003   ,8975,439,1277
1452,1/16/2020 2:45,6,NULL,NULL,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,1078,HTGH003   ,HTTT005   ,4218,25,925
1453,1/16/2020 3:00,5,1/23/2020 3:00,1/24/2020 3:00,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",0,589,HTGH001   ,HTTT001   ,7442,191,66
1454,1/16/2020 3:15,6,NULL,NULL,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,1095,HTGH003   ,HTTT005   ,7266,59,1344
1455,1/16/2020 3:30,2,1/23/2020 3:30,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,1811,HTGH002   ,HTTT003   ,4672,334,2045
1456,1/16/2020 3:45,5,1/23/2020 3:45,1/24/2020 3:45,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,132,HTGH002   ,HTTT003   ,8727,54,2025
1457,1/16/2020 4:00,4,1/23/2020 4:00,NULL,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",0,1609,HTGH002   ,HTTT003   ,3222,42,2402
1458,1/16/2020 4:15,3,1/23/2020 4:15,NULL,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",0,1445,HTGH001   ,HTTT001   ,1431,135,68
1459,1/16/2020 4:30,3,1/23/2020 4:30,NULL,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,1768,HTGH003   ,HTTT005   ,3612,337,900
1460,1/16/2020 4:45,6,NULL,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,1431,HTGH001   ,HTTT002   ,2027,288,1108
1461,1/16/2020 5:00,2,1/23/2020 5:00,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,2191,HTGH002   ,HTTT003   ,8613,169,1375
1462,1/16/2020 5:15,6,NULL,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,997,HTGH003   ,HTTT005   ,5352,76,1028
1463,1/16/2020 5:30,1,NULL,NULL,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,1522,HTGH003   ,HTTT005   ,3200,210,990
1464,1/16/2020 5:45,1,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,140,HTGH001   ,HTTT002   ,9814,188,330
1465,1/16/2020 6:00,1,NULL,NULL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,1788,HTGH001   ,HTTT001   ,6056,114,1765
1466,1/16/2020 6:15,3,1/23/2020 6:15,NULL,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",0,335,HTGH002   ,HTTT004   ,9538,327,2183
1467,1/16/2020 6:30,4,1/23/2020 6:30,NULL,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",0,1766,HTGH003   ,HTTT004   ,9202,371,1472
1468,1/16/2020 6:45,1,NULL,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,1335,HTGH003   ,HTTT005   ,4828,337,2441
1469,1/16/2020 7:00,1,NULL,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,244,HTGH002   ,HTTT003   ,5246,410,1728
1470,1/16/2020 7:15,1,NULL,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,599,HTGH003   ,HTTT005   ,7413,476,815
1471,1/16/2020 7:30,2,1/23/2020 7:30,NULL,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,1329,HTGH003   ,HTTT005   ,9968,19,1659
1472,1/16/2020 7:45,4,1/23/2020 7:45,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,1179,HTGH001   ,HTTT001   ,1035,479,1015
1473,1/16/2020 8:00,2,1/23/2020 8:00,NULL,"233đường Trục, P.13, Q. BìnhThạnh",0,467,HTGH003   ,HTTT005   ,6389,342,1651
1474,1/16/2020 8:15,4,1/23/2020 8:15,NULL,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,1398,HTGH001   ,HTTT001   ,3264,207,1252
1475,1/16/2020 8:30,3,1/23/2020 8:30,NULL,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",0,NULL,NULL,NULL,NULL,NULL,NULL
1476,1/16/2020 8:45,2,1/23/2020 8:45,NULL,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",0,691,HTGH002   ,HTTT002   ,548,351,1680
1477,1/16/2020 9:00,5,1/23/2020 9:00,1/24/2020 9:00,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,1759,HTGH002   ,HTTT003   ,8222,495,529
1478,1/16/2020 9:15,1,NULL,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1399,HTGH002   ,HTTT003   ,6920,70,2356
1479,1/16/2020 9:30,5,1/23/2020 9:30,1/24/2020 9:30,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,724,HTGH001   ,HTTT001   ,324,170,1463
